trip_distance_km,passenger_count,trip_price,weather_impact,traffic_multiplier,is_morning_rush,is_evening_rush,is_peak_hours,is_weekend,high_impact_trip,condition_score,distance_x_conditions
19.35,3.0,36.2624,1.0,1.0,1,0,1,0,0,1.0,19.35
36.87,1.0,52.9032,1.0,1.25,0,1,1,1,1,1.25,46.0875
30.33,4.0,36.4698,1.0,1.0,0,1,1,0,0,1.0,30.33
8.640000000000002,3.0,15.618000000000002,1.0,1.25,0,1,1,0,1,1.25,10.800000000000002
8.64,2.0,60.2028,1.0,1.1,0,0,0,1,0,1.1,9.504000000000001
3.85,4.0,11.2645,1.15,1.25,0,0,0,0,1,1.4375,5.534375
43.44,3.0,101.1216,1.0,1.0,0,1,1,1,0,1.0,43.44
30.45,3.0,94.48320000000001,1.0,1.25,1,0,1,0,1,1.25,38.0625
35.7,2.0,75.5657,1.15,1.0,0,0,0,0,0,1.15,41.055
2.0099999999999985,4.0,14.892,1.0,1.0,1,0,1,0,0,1.0,2.0099999999999985
41.79,3.0,88.13279999999999,1.0,1.25,0,0,0,1,1,1.25,52.2375
11.4,3.0,36.118,1.0,1.0,1,0,1,0,0,1.0,11.4
9.91,2.0,28.9914,1.0,1.25,0,1,1,0,1,1.25,12.3875
9.99,4.0,27.4415,1.0,1.25,0,0,0,0,1,1.25,12.4875
15.91,4.0,56.716,1.0,1.0,1,0,1,0,0,1.0,15.91
26.71,4.0,69.0049,1.15,1.0,0,0,0,1,0,1.15,30.7165
22.17,4.0,69.6268,1.0,1.0,0,0,0,0,0,1.0,22.17
15.27,2.0,27.3543,1.0,1.0,1,0,1,0,0,1.0,15.27
30.98,1.0,44.7782,1.15,1.0,0,0,0,1,0,1.15,35.626999999999995
7.84,4.0,26.2988,1.0,1.1,1,0,1,0,0,1.1,8.624
105.94355003672597,2.0,201.869509186128,1.15,1.0,0,0,0,1,0,1.15,121.83508254223486
18.95,1.0,39.2366,1.0,1.0,0,0,0,0,0,1.0,18.95
23.35,3.0,33.632000000000005,1.15,1.0,0,0,0,0,0,1.15,26.8525
39.47,1.0,83.69649999999999,1.0,1.0,0,0,0,0,0,1.0,39.47
10.78,3.0,28.2443,1.15,1.25,0,1,1,0,1,1.4375,15.49625
138.09832791310237,4.0,280.87730155406564,1.15,1.1,0,1,1,1,0,1.265,174.69438481007447
30.03,1.0,64.7971,1.0,1.25,0,0,0,0,1,1.25,37.5375
3.28,2.0,24.260800000000003,1.0,1.1,0,1,1,0,0,1.1,3.608
30.77,1.0,58.8121,1.0,1.0,1,0,1,0,0,1.0,30.77
9.36,1.0,20.7765,1.0,1.1,0,0,0,0,0,1.1,10.296
4.19,1.0,25.110500000000002,1.0,1.0,1,0,1,0,0,1.0,4.19
47.5,2.0,57.28,1.0,1.0,1,0,1,1,0,1.0,47.5
48.32,2.0,61.5552,1.0,1.0,1,0,1,0,0,1.0,48.32
40.61,1.0,54.1018,1.0,1.0,0,0,0,0,0,1.0,40.61
15.93,2.0,35.016400000000004,1.0,1.0,0,0,0,0,0,1.0,15.93
5.79,4.0,40.9225,1.0,1.0,0,1,1,0,0,1.0,5.79
34.53,3.0,60.0471,1.0,1.1,1,0,1,0,0,1.1,37.983000000000004
22.57,1.0,62.77850000000001,1.0,1.0,0,0,0,0,0,1.0,22.57
6.98,2.0,20.791,1.0,1.0,0,0,0,1,0,1.0,6.98
25.26,2.0,57.0482,1.0,1.25,0,1,1,0,1,1.25,31.575000000000003
2.69,4.0,42.9921,1.0,1.0,0,0,0,0,0,1.0,2.69
45.56,2.0,85.88400000000001,1.0,1.0,0,0,0,0,0,1.0,45.56
13.68,3.0,29.4758,1.0,1.25,0,1,1,1,1,1.25,17.1
33.46,2.0,30.9982,1.15,1.0,0,0,0,1,0,1.15,38.479
16.27,1.0,64.05529999999999,1.0,1.0,1,0,1,0,0,1.0,16.27
26.48,3.0,44.844,1.0,1.1,1,0,1,1,0,1.1,29.128000000000004
27.79,2.0,44.1197,1.0,1.0,0,1,1,0,0,1.0,27.79
10.06,2.0,20.1596,1.15,1.1,1,0,1,0,0,1.265,12.7259
48.51,3.0,104.1764,1.15,1.25,0,1,1,0,1,1.4375,69.733125
38.98,3.0,57.0766,1.0,1.0,0,0,0,0,0,1.0,38.98
47.04,4.0,98.3796,1.0,1.1,0,0,0,0,0,1.1,51.744
44.85,1.0,41.9343,1.15,1.1,0,1,1,1,0,1.265,56.73525
30.3,1.0,72.2695,1.0,1.0,0,0,0,1,0,1.0,30.3
46.17,4.0,99.8989,1.0,1.1,0,0,0,0,0,1.1,50.787000000000006
5.34,2.0,10.2366,1.0,1.0,0,0,0,0,0,1.0,5.34
10.6,3.0,32.342,1.0,1.1,0,0,0,0,0,1.1,11.66
3.22,3.0,37.1504,1.15,1.0,0,0,0,0,0,1.15,3.703
16.94,3.0,78.715,1.3,1.1,0,0,0,0,1,1.4300000000000002,24.224200000000003
20.05,2.0,29.8609,1.0,1.0,0,1,1,0,0,1.0,20.05
14.3,3.0,59.181,1.0,1.25,0,0,0,0,1,1.25,17.875
41.61,3.0,47.314800000000005,1.15,1.0,0,1,1,1,0,1.15,47.851499999999994
18.48,4.0,69.6575,1.0,1.1,0,0,0,0,0,1.1,20.328000000000003
146.0670471598387,2.0,320.958663578238,1.0,1.1,0,0,0,0,0,1.1,160.67375187582257
27.59,1.0,61.459500000000006,1.15,1.1,0,1,1,1,0,1.265,34.901349999999994
7.91,4.0,68.3748,1.0,1.1,1,0,1,0,0,1.1,8.701
40.31,4.0,71.2142,1.0,1.1,1,0,1,0,0,1.1,44.34100000000001
4.65,1.0,33.8442,1.0,1.1,0,0,0,0,0,1.1,5.115000000000001
49.36,4.0,65.084,1.15,1.25,1,0,1,0,1,1.4375,70.955
38.84,2.0,69.52810000000001,1.0,1.0,1,0,1,1,0,1.0,38.84
10.74,3.0,23.5462,1.0,1.1,1,0,1,0,0,1.1,11.814000000000002
1.27,2.0,11.3358,1.0,1.25,1,0,1,0,1,1.25,1.5875
40.96,1.0,92.8432,1.0,1.25,1,0,1,1,1,1.25,51.2
35.64,1.0,36.4388,1.15,1.25,0,0,0,1,1,1.4375,51.2325
36.72,2.0,61.8883,1.0,1.0,0,0,0,1,0,1.0,36.72
38.79,2.0,104.2421,1.0,1.0,0,0,0,0,0,1.0,38.79
4.63,2.0,18.8626,1.0,1.1,0,0,0,0,0,1.1,5.093
18.56,1.0,45.385000000000005,1.3,1.1,1,0,1,1,1,1.4300000000000002,26.5408
6.68,2.0,16.9284,1.0,1.1,0,0,0,1,0,1.1,7.348
43.29,1.0,94.2463,1.15,1.1,0,1,1,0,0,1.265,54.761849999999995
31.54,2.0,87.6076,1.0,1.25,1,0,1,0,1,1.25,39.425
17.21,2.0,42.8661,1.15,1.0,0,0,0,0,0,1.15,19.7915
4.11,2.0,11.2613,1.15,1.25,0,1,1,1,1,1.4375,5.908125
16.24,1.0,45.8161,1.0,1.1,0,0,0,0,0,1.1,17.864
16.93,4.0,42.9949,1.3,1.0,0,0,0,0,1,1.3,22.009
36.75,2.0,76.2217,1.0,1.1,0,0,0,0,0,1.1,40.425000000000004
32.239999999999995,1.0,57.9476,1.0,1.1,0,0,0,0,0,1.1,35.464
44.47,1.0,59.761300000000006,1.0,1.0,0,0,0,1,0,1.0,44.47
24.14,2.0,55.3948,1.0,1.0,1,0,1,0,0,1.0,24.14
6.86,2.0,29.4658,1.0,1.25,0,0,0,1,1,1.25,8.575000000000001
